Hour,Consumption Sma (kWh/h),Consumption Saft (kWh/h),Turbine Production (kWh/h),DH plant Consumption (kWh/h),FCR-N (EUR/MW),FCR-N (MW),FCR-D up (EUR/MW),FCR-D up (MW),FCR-D down (EUR/MW),FCR-D down (MW),Irradiance (Wh/m2),Day Ahead (EUR/MWh)
2023-01-22 09:00:00,141.785,2040.3569999999997,3770.488,587.9599999999996,40.5711917670683,1.4,43.4755046243066,5.5,17.9084827786561,2.9,110.06839634149149,120.99
2023-01-22 10:00:00,144.648,2041.1749999999995,3415.816,552.2240000000002,40.169268875502,0.0,43.4755523392797,5.5,17.8765515494071,2.9,169.38225009282527,137.64
2023-01-22 11:00:00,149.423,2030.5339999999997,3767.392,576.8879999999999,40.2997246987952,1.4,43.3970499646226,5.5,17.4043747351779,2.9,192.8886834965021,124.39
2023-01-22 12:00:00,142.337,1967.0089999999998,3756.576,584.288,40.2132721927711,0.0,42.6912237322034,5.5,17.4606812252964,2.9,176.98041146018596,108.59
2023-01-22 13:00:00,148.09400000000005,2000.3569999999997,3771.3759999999997,596.656,40.3421360843374,1.4,42.9902614661017,5.5,17.4494693675889,2.9,124.01146139395327,119.98
2023-01-22 14:00:00,144.585,1957.061,3771.984,603.1200000000003,40.8529113815261,0.0,43.2154627559322,5.5,17.4045104347826,2.9,46.10814119552294,151.19
2023-01-22 15:00:00,145.269,2025.061,3771.8399999999997,610.6639999999998,40.4676969718875,0.0,43.2523485,5.5,17.4734775490196,2.6,0.0,153.71
2023-01-22 16:00:00,163.077,2086.161,3771.2799999999997,611.3759999999997,40.476054939759,1.4,43.2502649152542,5.5,17.3066313184476,2.7,0.0,171.03
2023-01-22 17:00:00,166.558,2025.833,3771.2239999999997,612.3519999999999,41.4221134285714,0.0,42.7302435254237,5.5,20.5309064929372,2.6,0.0,191.99
2023-01-22 18:00:00,164.39700000000002,2115.731,3770.9759999999997,606.232,41.8745347782609,0.0,41.7769367627119,5.5,22.5771553197158,2.5,0.0,199.13
2023-01-22 19:00:00,159.191,2041.4999999999998,3771.0000000000005,598.0960000000005,42.5473826706827,0.0,41.7914609254237,5.5,21.914676229249,2.7,0.0,199.17
2023-01-22 20:00:00,153.075,2130.0860000000002,3771.0559999999996,607.4159999999997,43.4667965421687,0.0,42.0724676542373,5.5,22.9629267035573,2.8,0.0,174.71
2023-01-22 21:00:00,154.915,2183.018,3771.144,609.2159999999999,44.1587964738077,1.4,42.4557009745763,5.5,31.4325324901186,2.9,0.0,165.25
2023-01-22 22:00:00,152.802,2148.175,3770.768,615.6880000000001,46.3566882095387,1.4,41.9489954745763,5.5,38.703741201581,2.9,0.0,157.35
2023-01-22 23:00:00,151.66600000000003,2212.32,3769.912,628.5920000000001,46.3973476051907,1.4,42.0049517898305,5.5,39.1979936363636,2.9,0.0,146.97
2023-01-23 00:00:00,149.859,2151.1589999999997,3771.0719999999997,624.7919999999999,42.5964600301205,0.0,41.3179958067797,5.3,32.4965254347826,2.7,0.0,108.55
2023-01-23 01:00:00,156.45800000000003,2069.0550000000003,3771.736,631.152,42.629969373814,0.0,41.3942274169491,5.3,33.4282226442688,2.6,0.0,124.13
2023-01-23 02:00:00,157.377,2132.6769999999997,3770.2639999999997,631.8799999999997,42.536178892261,0.0,41.3349206779661,5.0,33.4388057351779,2.6,0.0,91.16
2023-01-23 03:00:00,170.219,2106.11,3770.664,630.8480000000004,42.5871340296804,0.0,41.4029277288136,5.3,33.5646494545455,2.6,0.0,108.5
2023-01-23 04:00:00,177.32500000000002,2098.3230000000003,3771.144,641.0479999999998,42.5578166974596,0.0,41.0837953711864,5.2,33.0808966587678,2.7,0.0,146.28
2023-01-23 05:00:00,181.94299999999998,2024.1009999999999,3771.064,625.096,42.2859051445783,0.0,41.8778820221328,5.1,27.5530282213439,2.8,0.0,146.71
2023-01-23 06:00:00,210.02100000000002,2196.742,3771.248,629.9839999999999,40.4909483975904,0.0,41.7852436195455,5.3,16.5972650118577,2.8,0.0,189.96
2023-01-23 07:00:00,335.46,2262.861,3770.528,658.7359999999999,40.5026799506782,0.0,41.3309843200469,5.5,16.1448242450593,2.9,0.0,226.54
2023-01-23 08:00:00,370.10999999999996,2358.344,3770.544,688.2800000000002,40.5376347927565,0.0,42.1339813134094,5.5,16.0140567905138,2.9,33.66185556932054,251.73
2023-01-23 09:00:00,306.5390000000001,2380.958,3770.616,667.7759999999998,40.1851296940024,0.0,42.3998813596323,5.5,15.975059027668,2.9,113.88381799244394,263.74
2023-01-23 10:00:00,326.19899999999996,2477.031,3770.7279999999996,668.2959999999998,40.5709662222222,0.0,42.1828249522354,5.5,15.9529213596838,2.9,173.67565417714226,243.94
2023-01-23 11:00:00,325.2799999999999,2423.6389999999997,3770.488,670.0879999999997,40.3671625533629,0.0,42.1820244926428,5.5,16.096706770751,2.9,197.44981999034928,224.71
2023-01-23 12:00:00,246.964,2574.083,3587.3199999999997,622.5999999999999,40.3063535691318,0.0,42.2764553525424,5.5,15.9467615217391,2.8,181.65890776978085,215.65
2023-01-23 13:00:00,357.444,2516.7160000000003,3625.912,600.672,40.3366027491961,0.0,42.1406868898305,5.5,15.9271065217391,2.7,128.57490952494075,213.92
2023-01-23 14:00:00,407.71999999999997,2402.033,3771.624,631.0079999999998,39.3136110941371,0.0,42.0793691508475,5.5,15.587325541502,2.9,49.80102240666658,214.42
2023-01-23 15:00:00,383.01699999999994,2521.317,3770.9120000000003,645.8000000000006,39.1967821719822,0.0,42.2460097881356,5.5,15.1871850630828,2.9,0.0,218.99
2023-01-23 16:00:00,437.79399999999987,2556.4100000000003,3770.1279999999997,625.2719999999999,39.2259180483871,0.0,42.3911372745763,5.5,15.0414121743869,2.5,0.0,219.19
2023-01-23 17:00:00,410.5,2509.9089999999997,3770.888,611.7599999999998,39.4208422168675,0.0,42.290541979661,5.5,15.3334019268559,2.9,0.0,242.93
2023-01-23 18:00:00,351.25499999999994,2541.9689999999996,3770.904,623.1440000000002,39.7569871325301,0.0,41.4509241118644,5.5,16.7129535136612,2.8,0.0,242.12
2023-01-23 19:00:00,270.987,2549.8599999999997,3771.4719999999998,620.616,39.8869909839357,0.0,40.9896594068802,5.5,16.5411605901639,2.9,0.0,217.83
2023-01-23 20:00:00,212.17900000000003,2481.9419999999996,3770.616,678.656,40.2543037831325,0.0,40.8072405016099,5.4,16.5261171895425,2.6,0.0,198.65
2023-01-23 21:00:00,227.38400000000001,2539.884,3771.4079999999994,626.3119999999999,39.9583442971888,0.0,40.7298176410778,5.5,16.5782632213439,2.8,0.0,179.6
2023-01-23 22:00:00,229.928,2530.095,3770.696,616.0480000000002,42.3603552365931,0.0,40.9313975597356,5.3,17.8797036679842,2.9,0.0,167.96
2023-01-23 23:00:00,237.37899999999996,2596.825,3770.216,641.5680000000002,42.3079055919003,0.0,41.0701065853245,5.3,17.6604971699605,2.8,0.0,70.06
2023-01-24 00:00:00,205.661,2587.6199999999994,3770.4719999999998,619.6479999999997,46.683418930603,0.0,40.9250260871039,5.3,29.4823228052153,2.8,0.0,160.89
2023-01-24 01:00:00,186.707,2569.096,3716.8,604.3120000000004,45.3866740814758,0.0,40.6550650093205,4.9,29.4475398617147,2.8,0.0,156.23
2023-01-24 02:00:00,165.857,2738.4489999999996,3750.0879999999997,618.2159999999999,45.0687148959137,0.0,40.4957823606168,5.2,30.2176641334356,2.8,0.0,140.75
2023-01-24 03:00:00,170.45899999999997,2756.1110000000003,3771.3039999999996,615.1439999999998,46.0989101135074,0.0,40.493374778851,5.0,30.756461926465,2.9,0.0,110.07
2023-01-24 04:00:00,181.226,2764.3110000000006,3771.0399999999995,621.2799999999997,43.2866771058315,0.0,39.9941488849348,5.0,30.2165784869432,2.8,0.0,99.59
2023-01-24 05:00:00,190.508,2545.847,3770.64,601.4639999999999,43.1419281603597,0.0,39.2881822674123,4.8,25.6154492611616,2.7,0.0,108.29
2023-01-24 06:00:00,220.039,2706.837,3763.136,600.2320000000004,42.2707542125237,0.0,38.7548495373665,5.1,16.7961650335836,2.9,0.0,179.2
2023-01-24 07:00:00,296.26599999999996,2771.97,3769.68,629.3759999999997,41.428817313253,0.0,39.442636915777,5.3,16.6564070683524,2.9,0.0,205.04
